ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:42,-0.018275,-0.005427,-0.01375,4293.884277,17382.68945,-0.557916,0.050871
2_2_2023 20:6:42,-0.018275,-0.005427,-0.010753,4293.884277,17382.68945,-0.557916,0.050871
2_2_2023 20:6:42,-0.018275,-0.005427,-0.010753,4293.852539,17382.68945,-0.557916,0.050871
2_2_2023 20:6:42,-0.018275,-0.005427,-0.010753,4293.852539,17382.6875,-0.557916,0.050871
2_2_2023 20:6:42,-0.018275,-0.005427,-0.010753,4293.852539,17382.6875,-0.561751,0.050871
2_2_2023 20:6:42,-0.018275,-0.005427,-0.010753,4293.852539,17382.6875,-0.561751,0.037739
2_2_2023 20:6:43,0.059174,-0.005427,-0.010753,4293.852539,17382.6875,-0.561751,0.037739
2_2_2023 20:6:43,0.059174,-0.005405,-0.010753,4293.852539,17382.6875,-0.561751,0.037739
2_2_2023 20:6:43,0.059174,-0.005405,-0.018235,4293.852539,17382.6875,-0.561751,0.037739
2_2_2023 20:6:43,0.059174,-0.005405,-0.018235,4293.820801,17382.6875,-0.561751,0.037739
2_2_2023 20:6:43,0.059174,-0.005405,-0.018235,4293.820801,17382.6875,-0.558662,0.037739
2_2_2023 20:6:43,0.059174,-0.005405,-0.018235,4293.820801,17382.6875,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.005405,-0.018235,4293.820801,17382.6875,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,-0.018235,4293.820801,17382.6875,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,0.005311,4293.820801,17382.6875,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,0.005311,4293.789062,17382.6875,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,0.005311,4293.789062,17382.68555,-0.558662,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,0.005311,4293.789062,17382.68555,-0.557299,0.077845
2_2_2023 20:6:44,0.110618,-0.040852,0.005311,4293.789062,17382.68555,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,-0.040852,0.005311,4293.789062,17382.68555,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,0.029745,0.005311,4293.789062,17382.68555,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,0.029745,-0.003375,4293.789062,17382.68555,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,0.029745,-0.003375,4293.757324,17382.68555,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,0.029745,-0.003375,4293.757324,17382.65625,-0.557299,0.066707
2_2_2023 20:6:45,0.074541,0.029745,-0.003375,4293.757324,17382.65625,-0.559798,0.066707
2_2_2023 20:6:45,0.074541,0.029745,-0.003375,4293.757324,17382.65625,-0.559798,0.086769
2_2_2023 20:6:46,-0.041595,0.029745,-0.003375,4293.757324,17382.65625,-0.559798,0.086769
2_2_2023 20:6:46,-0.041595,-0.043862,-0.003375,4293.757324,17382.65625,-0.559798,0.086769
